,Data Type,% Missing,count,unique,top,freq,mean,std,min,25%,Median (50%),75%,max,Coeff of Var,Unique Values
AMT_ANNUITY,float64,71.4734902949614,489637.0,,,,15712.757700077811,325826.9490533557,0.0,0.0,0.0,13500.0,118453423.5,20.736458569060872,
AMT_CREDIT_MAX_OVERDUE,float64,65.51326359159837,591940.0,,,,3825.417661273102,206031.6062069125,0.0,0.0,0.0,0.0,115987185.0,53.8585912572864,
DAYS_ENDDATE_FACT,float64,36.916957775100386,1082775.0,,,,-1017.43714806862,714.0106263423945,-42023.0,-1489.0,-897.0,-425.0,0.0,0.7017736945203802,
AMT_CREDIT_SUM_LIMIT,float64,34.47741472406649,1124648.0,,,,6229.514980300505,45032.03147586141,-586406.115,0.0,0.0,0.0,4705600.32,7.228818233564809,
AMT_CREDIT_SUM_DEBT,float64,15.011931755948982,1458759.0,,,,137085.11995216066,677401.1309521429,-4705600.32,0.0,0.0,40153.5,170100000.0,4.941463604427229,
DAYS_CREDIT_ENDDATE,float64,6.149573416420613,1610875.0,,,,510.51736230309615,4994.219837125882,-42060.0,-1138.0,-330.0,474.0,31199.0,9.782664030456214,
AMT_CREDIT_SUM,float64,0.0007573868522303295,1716415.0,,,,354994.59191767266,1149811.3439797724,0.0,51300.0,125518.5,315000.0,585000000.0,3.238954536655102,
CREDIT_ACTIVE,object,0.0,1716428,4,Closed,1079273,,,,,,,,,"['Closed', 'Active', 'Sold', 'Bad debt']"
CREDIT_CURRENCY,object,0.0,1716428,4,currency 1,1715020,,,,,,,,,"['currency 1', 'currency 2', 'currency 4', 'currency 3']"
DAYS_CREDIT,int64,0.0,1716428.0,,,,-1142.107684680045,795.1649282053271,-2922.0,-1666.0,-987.0,-474.0,0.0,0.6962258803363959,
CREDIT_DAY_OVERDUE,int64,0.0,1716428.0,,,,0.8181665645165425,36.54442800616701,0.0,0.0,0.0,0.0,2792.0,44.666244736805204,
SK_ID_BUREAU,int64,0.0,1716428.0,,,,5924434.489031873,532265.7285521405,5000000.0,5463953.75,5926303.5,6385681.25,6843457.0,0.0898424532396373,
CNT_CREDIT_PROLONG,int64,0.0,1716428.0,,,,0.00641040579622332,0.09622390571999649,0.0,0.0,0.0,0.0,9.0,15.01057948261039,
AMT_CREDIT_SUM_OVERDUE,float64,0.0,1716428.0,,,,37.91275774165884,5937.650034902758,0.0,0.0,0.0,0.0,3756681.0,156.61350924041122,
CREDIT_TYPE,object,0.0,1716428,15,Consumer credit,1251615,,,,,,,,,"['Consumer credit', 'Credit card', 'Mortgage', 'Car loan', 'Microloan', 'Loan for working capital replenishment', 'Loan for business development', 'Real estate loan', 'Unknown type of loan', 'Another type of loan', 'Cash loan (non-earmarked)', 'Loan for the purchase of equipment', 'Mobile operator loan', 'Interbank credit', 'Loan for purchase of shares (margin lending)']"
DAYS_CREDIT_UPDATE,int64,0.0,1716428.0,,,,-593.7483197663986,720.7473115011627,-41947.0,-908.0,-395.0,-33.0,372.0,1.2138936440017716,
SK_ID_CURR,int64,0.0,1716428.0,,,,278214.9336447553,102938.5581123832,100001.0,188866.75,278055.0,367426.0,456255.0,0.3699965230616359,
