,Data Type,% Missing,count,unique,top,freq,mean,std,min,25%,Median (50%),75%,max,Coeff of Var,Unique Values
AMT_PAYMENT_CURRENT,float64,19.998062657409086,3072324.0,,,,10280.537702000176,36078.08495291852,0.0,152.37,2702.7,9000.0,4289207.445,3.5093577786207804,
AMT_DRAWINGS_ATM_CURRENT,float64,19.52487193748841,3090496.0,,,,5961.324822059306,28225.688578026464,-6827.31,0.0,0.0,0.0,2115000.0,4.73480131020206,
CNT_DRAWINGS_POS_CURRENT,float64,19.52487193748841,3090496.0,,,,0.5594791256807968,3.240649089606979,0.0,0.0,0.0,0.0,165.0,5.792260945685197,
AMT_DRAWINGS_OTHER_CURRENT,float64,19.52487193748841,3090496.0,,,,288.1695824246334,8201.989344551024,0.0,0.0,0.0,0.0,1529847.0,28.462370231931526,
AMT_DRAWINGS_POS_CURRENT,float64,19.52487193748841,3090496.0,,,,2968.8048476830263,20796.887047016866,0.0,0.0,0.0,0.0,2239274.16,7.005137795853299,
CNT_DRAWINGS_OTHER_CURRENT,float64,19.52487193748841,3090496.0,,,,0.004812496117128124,0.08263861224197662,0.0,0.0,0.0,0.0,12.0,17.171673541274778,
CNT_DRAWINGS_ATM_CURRENT,float64,19.52487193748841,3090496.0,,,,0.3094490334237611,1.100401180222037,0.0,0.0,0.0,0.0,51.0,3.556001348742757,
CNT_INSTALMENT_MATURE_CUM,float64,7.948208374736219,3535076.0,,,,20.825083817151313,20.05149383196059,0.0,4.0,15.0,32.0,120.0,0.9628529713501752,
AMT_INST_MIN_REGULARITY,float64,7.948208374736219,3535076.0,,,,3540.204128515201,5600.1541223924705,0.0,0.0,0.0,6633.911249999999,202882.005,1.581873225129884,
SK_ID_PREV,int64,0.0,3840312.0,,,,1904503.589899727,536469.4705633147,1000018.0,1434385.0,1897122.0,2369327.75,2843496.0,0.2816846727978917,
AMT_TOTAL_RECEIVABLE,float64,0.0,3840312.0,,,,58098.28548873762,105971.80110443593,-420250.185,0.0,0.0,88914.51,1493338.185,1.8240090944676604,
SK_DPD,int64,0.0,3840312.0,,,,9.283667316613858,97.51570009022504,0.0,0.0,0.0,0.0,3260.0,10.504006311785103,
NAME_CONTRACT_STATUS,object,0.0,3840312,7,Active,3698436,,,,,,,,,"['Active', 'Completed', 'Demand', 'Signed', 'Sent proposal', 'Refused', 'Approved']"
CNT_DRAWINGS_CURRENT,int64,0.0,3840312.0,,,,0.7031439112238798,3.1903467951854387,0.0,0.0,0.0,0.0,165.0,4.537260074729764,
AMT_PAYMENT_TOTAL_CURRENT,float64,0.0,3840312.0,,,,7588.85673946413,32005.987768274354,0.0,0.0,0.0,6750.0,4278315.69,4.217497953523679,
AMT_RECIVABLE,float64,0.0,3840312.0,,,,58088.81117667395,105965.36990809739,-420250.185,0.0,0.0,88899.49124999999,1493338.185,1.8241958780290664,
AMT_RECEIVABLE_PRINCIPAL,float64,0.0,3840312.0,,,,55965.87690549753,102533.61684586095,-423305.82,0.0,0.0,85359.23999999999,1472316.795,1.8320738013092595,
SK_ID_CURR,int64,0.0,3840312.0,,,,278324.20728888694,102704.47513278345,100006.0,189517.0,278396.0,367580.0,456250.0,0.36901021342416407,
AMT_DRAWINGS_CURRENT,float64,0.0,3840312.0,,,,7433.388179202633,33846.07733269499,-6211.62,0.0,0.0,0.0,2287098.315,4.553250350545476,
AMT_CREDIT_LIMIT_ACTUAL,int64,0.0,3840312.0,,,,153807.95740033622,165145.69952457922,0.0,45000.0,112500.0,180000.0,1350000.0,1.0737136251977704,
AMT_BALANCE,float64,0.0,3840312.0,,,,58300.155261857624,106307.0310235308,-420250.185,0.0,0.0,89046.68625,1505902.185,1.8234433604172793,
MONTHS_BALANCE,int64,0.0,3840312.0,,,,-34.52192061478338,26.667750992623386,-96.0,-55.0,-28.0,-11.0,-1.0,0.7724874664477216,
SK_DPD_DEF,int64,0.0,3840312.0,,,,0.3316220140446922,21.47923146979367,0.0,0.0,0.0,0.0,3260.0,64.77022200009601,
